repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
Tanic-Labs/telegai-status,385,1,0.0,385.0,0.0015080474897864057,0,5.223721965623642,-0.050671985279635054,-0.46454989815209413,5.522912465627888,-0.8743427066786028,-0.07819981116581376,5.522912465627888,events_per_actor
williamjwells/pancreas,385,1,0.0,385.0,0.001513364779874214,0,5.223721965623642,-0.050671985279635054,-0.46454989815209413,5.522912465627888,-0.8743328682964303,-0.07819981116581376,5.522912465627888,events_per_actor
DSK-Slava-1/220,384,1,1.0,384.0,0.0015094458289766429,0,5.209975656611219,-0.050671985279635054,2.300566933694207,5.508411626942443,-0.87434011938411,-0.07819981116581376,5.508411626942443,events_per_actor
LiliaSkumatova/Glance,31,1,0.0,31.0,3.4444444444444446,31,0.35752857522593706,-0.050671985279635054,-0.46454989815209413,0.3896155709803154,5.495993218092099,5.43515759227521,5.495993218092099,events_per_second
HenryJi529/MorningstarPicRepo,383,1,0.0,383.0,0.0016802003957025475,0,5.196229347598796,-0.050671985279635054,-0.46454989815209413,5.493910788256998,-0.8740241786215405,-0.07819981116581376,5.493910788256998,events_per_actor
josernalist/renfe-gtfsrt,383,1,1.0,383.0,0.0015055800807431197,0,5.196229347598796,-0.050671985279635054,2.300566933694207,5.493910788256998,-0.8743472720328984,-0.07819981116581376,5.493910788256998,events_per_actor
itrascastro/itrascastro.github.io,382,1,0.0,382.0,0.0014968828003463991,0,5.182483038586373,-0.050671985279635054,-0.46454989815209413,5.4794099495715525,-0.8743633642842128,-0.07819981116581376,5.4794099495715525,events_per_actor
Shakesf1/iran,403,2,0.18114143920595532,201.5,0.001587858203868385,0,5.4711555278472535,0.2086649622274009,0.0363273443411564,2.8620085668487087,-0.8741950359114206,-0.07819981116581376,5.4711555278472535,total_events
small-cactus/Fuel-Up,24,1,1.0,24.0,3.4285714285714284,0,0.2613044121389768,-0.050671985279635054,2.300566933694207,0.28810970018219956,5.466623972892051,-0.07819981116581376,5.466623972892051,events_per_second
georgehamano/jkk-akiya-data,381,1,0.0,381.0,0.0014935436577315385,0,5.168736729573951,-0.050671985279635054,-0.46454989815209413,5.464909110886107,-0.8743695425744002,-0.07819981116581376,5.464909110886107,events_per_actor
