repo_name,total_events,unique_actors,bot_events,first_event,last_event,total_payload_b,phish_name_flag,ai_coauthor_flag,unique_orgs,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
CarnaViire/docs,150,1,150,2026-04-15 09:32:29+00:00,2026-04-15 10:54:56+00:00,318358,False,False,0,150.0,1.0,4947.0,0.030321406913280776,4,52,4
senyorbishop-blip/Alpha,200,1,0,2026-04-14 00:11:16+00:00,2026-04-16 15:18:21+00:00,158216,False,False,0,200.0,0.0,227225.0,0.0008801848388161514,3,52,2
thinkwork-ai/thinkwork,166,2,0,2026-04-14 00:46:31+00:00,2026-04-16 22:54:44+00:00,138807,False,False,1,83.0,0.0,252493.0,0.000657443968743688,5,51,1
atlanhq/application-sdk,417,24,71,2026-04-14 04:31:04+00:00,2026-04-16 19:54:59+00:00,983949,False,False,1,17.375,0.17026378896882494,228235.0,0.0018270642101342915,7,51,1
fleetdm/fleet,363,57,58,2026-04-14 00:11:56+00:00,2026-04-16 22:27:57+00:00,1129002,False,False,1,6.368421052631579,0.15977961432506887,252961.0,0.001435003814817304,8,51,0
google-gemini/gemini-cli,523,149,200,2026-04-14 00:46:20+00:00,2026-04-16 22:48:41+00:00,1984254,False,False,1,3.51006711409396,0.3824091778202677,252141.0,0.0020742362408335017,11,51,0
earthoncom/syncmirror,64,2,33,2026-04-14 09:23:28+00:00,2026-04-15 10:14:55+00:00,111654,False,False,0,32.0,0.515625,89487.0,0.0007151876808921966,3,51,3
aegisfleet/amazon-product-article,223,6,152,2026-04-14 09:21:56+00:00,2026-04-16 21:05:46+00:00,504188,False,False,0,37.166666666666664,0.6816143497757847,215030.0,0.001037064595637818,5,51,3
Ammar404z/StuPro,51,1,0,2026-04-14 13:15:32+00:00,2026-04-14 13:16:14+00:00,31175,False,False,0,51.0,0.0,42.0,1.2142857142857142,1,51,3
battulgausa/TUKA-AI,75,1,0,2026-04-14 01:12:28+00:00,2026-04-14 06:36:35+00:00,51651,False,False,0,75.0,0.0,19447.0,0.0038566359849848304,2,51,2
AFnRFCb7/resource-logger,51,1,0,2026-04-14 09:43:12+00:00,2026-04-16 20:34:19+00:00,33966,True,False,0,51.0,0.0,211867.0,0.00024071705362326365,1,51,5
sofanuladi/rtk-air,50,1,0,2026-04-16 09:26:47+00:00,2026-04-16 09:27:02+00:00,29418,False,False,0,50.0,0.0,15.0,3.3333333333333335,1,50,3
uniget-org/tools,370,4,351,2026-04-14 03:42:44+00:00,2026-04-16 18:22:18+00:00,1765957,False,False,1,92.5,0.9486486486486486,225574.0,0.0016402599590378325,6,50,3
ten9876/AetherSDR,264,27,96,2026-04-14 00:02:50+00:00,2026-04-16 19:20:45+00:00,996099,False,False,0,9.777777777777779,0.36363636363636365,242275.0,0.0010896708286038592,8,50,0
Prompt-Coder/Sandy-Map-Data,73,1,0,2026-04-14 02:42:45+00:00,2026-04-16 22:50:04+00:00,56712,False,False,0,73.0,0.0,245239.0,0.00029766880471703114,2,50,2
AFnRFCb7/fixture,50,1,0,2026-04-14 09:43:08+00:00,2026-04-16 20:58:08+00:00,32500,False,False,0,50.0,0.0,213300.0,0.00023441162681669012,1,50,2
Miaxos/octokit-rs,184,1,184,2026-04-14 00:36:16+00:00,2026-04-16 22:57:23+00:00,117940,False,False,0,184.0,1.0,253267.0,0.0007265060193392743,3,50,4
base/base,306,18,125,2026-04-14 00:11:52+00:00,2026-04-16 22:59:08+00:00,734099,False,False,1,17.0,0.4084967320261438,254836.0,0.0012007722613759438,8,50,1
