actor_login,repo_name,event_count,rank,purpose_label,name_category,language
7k-hiroba-provisioning-app[bot],7K-Hiroba/bulkwart-mail,1,2.0,no_description,general,
7k-hiroba-provisioning-app[bot],7K-Hiroba/bulwark-mail,1,3.0,no_description,general,
80oldcar[bot],KomaLin1984/2025-blog-80oldcar,1,1.0,no_description,general,
82marhal-bot,School-Be-Fun-They-said/The-Snaxers,17,1.0,no_description,general,
85vypd46py-bot,ZeroLu/awesome-seedance,1,1.0,no_description,curated_list,
85vypd46py-bot,anthropics/claude-cookbooks,1,2.0,no_description,general,
8ballpool6356-bot,8ballpool6356-bot/Unbox-System,1,1.0,no_description,automation,
8x8-developer-docs-sync[bot],8x8Cloud/public-developer-docs,3,1.0,no_description,docs,
908zeox-bot,908zeox-bot/platte-valley-airpark,12,1.0,no_description,automation,
908zeox-bot,908zeox-bot/dairy-hills,1,2.0,no_description,automation,
929756736ch-bot,milla-jovovich/mempalace,1,1.0,no_description,general,
929756736ch-bot,supermemoryai/supermemory,1,2.0,no_description,general,
929756736ch-bot,thedotmack/claude-mem,1,3.0,no_description,general,
952942710-bot,952942710-bot/myweb,1,1.0,no_description,automation,
952942710-bot,952942710-bot/superpacman,1,2.0,no_description,automation,
952942710-bot,952942710-bot/superspeedpacman,1,3.0,no_description,automation,
96daysleftrenovate[bot],96daysleft/CaseChanger,2,1.0,no_description,general,
96daysleftrenovate[bot],96daysleft/cc1-notifier,1,2.0,no_description,general,
992851qaz-bot,992851qaz-bot/-,3,1.0,no_description,automation,
9s4pr6gvvk-bot,9s4pr6gvvk-bot/singlikenooneelse,3,1.0,no_description,automation,
9xp2m4dwh2-bot,9xp2m4dwh2-bot/ml.spam.py,1,1.0,no_description,automation,
ADARSH685-BOT,ADARSH685-BOT/3D-Spaceship-Endless-Runner-game,1,1.0,no_description,automation,
ADS-bot,ADS-bot/taskflow-Arghadeep-Saha,1,1.0,no_description,automation,
AGENT33-BOT,AGENT33-BOT/bybit-news-trading,1,1.0,no_description,automation,
AI-dan-bot,AI-dan-bot/wolfTPM,1,1.0,no_description,automation,
AIL-Texas-Bot,AIL-Texas-Bot/vasu-video-roleplay,1,1.0,no_description,automation,
AIjourney-bot,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1,1.0,no_description,general,
AIjourney-bot,eigensteve/pysindy,1,2.0,no_description,general,
AIjourney-bot,fastai/numerical-linear-algebra,1,3.0,no_description,general,
