actor_login,window_start,event_count
chatgpt-codex-connector[bot],2026-04-10 02:50:00+00:00,50
chatgpt-codex-connector[bot],2026-04-10 03:00:00+00:00,47
chatgpt-codex-connector[bot],2026-04-10 03:10:00+00:00,47
chatgpt-codex-connector[bot],2026-04-10 03:20:00+00:00,35
chatgpt-codex-connector[bot],2026-04-10 03:30:00+00:00,46
chatgpt-codex-connector[bot],2026-04-10 03:40:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 03:50:00+00:00,35
chatgpt-codex-connector[bot],2026-04-10 04:10:00+00:00,41
chatgpt-codex-connector[bot],2026-04-10 04:20:00+00:00,40
chatgpt-codex-connector[bot],2026-04-10 04:30:00+00:00,40
chatgpt-codex-connector[bot],2026-04-10 04:40:00+00:00,31
chatgpt-codex-connector[bot],2026-04-10 04:50:00+00:00,30
chatgpt-codex-connector[bot],2026-04-10 05:00:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 05:10:00+00:00,24
chatgpt-codex-connector[bot],2026-04-10 05:20:00+00:00,41
chatgpt-codex-connector[bot],2026-04-10 05:30:00+00:00,43
chatgpt-codex-connector[bot],2026-04-10 05:40:00+00:00,52
chatgpt-codex-connector[bot],2026-04-10 05:50:00+00:00,34
chatgpt-codex-connector[bot],2026-04-10 06:00:00+00:00,42
chatgpt-codex-connector[bot],2026-04-10 06:10:00+00:00,41
chatgpt-codex-connector[bot],2026-04-10 06:20:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 06:30:00+00:00,59
chatgpt-codex-connector[bot],2026-04-10 06:40:00+00:00,37
chatgpt-codex-connector[bot],2026-04-10 06:50:00+00:00,30
chatgpt-codex-connector[bot],2026-04-10 07:00:00+00:00,23
chatgpt-codex-connector[bot],2026-04-10 07:10:00+00:00,20
chatgpt-codex-connector[bot],2026-04-10 07:20:00+00:00,29
chatgpt-codex-connector[bot],2026-04-10 07:30:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 07:40:00+00:00,35
chatgpt-codex-connector[bot],2026-04-10 07:50:00+00:00,27
chatgpt-codex-connector[bot],2026-04-10 08:00:00+00:00,40
chatgpt-codex-connector[bot],2026-04-10 08:10:00+00:00,28
chatgpt-codex-connector[bot],2026-04-10 08:20:00+00:00,29
chatgpt-codex-connector[bot],2026-04-10 08:30:00+00:00,21
chatgpt-codex-connector[bot],2026-04-10 08:40:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 08:50:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 09:00:00+00:00,22
chatgpt-codex-connector[bot],2026-04-10 09:10:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 09:20:00+00:00,42
chatgpt-codex-connector[bot],2026-04-10 09:30:00+00:00,40
chatgpt-codex-connector[bot],2026-04-10 09:40:00+00:00,36
chatgpt-codex-connector[bot],2026-04-10 09:50:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 10:00:00+00:00,20
chatgpt-codex-connector[bot],2026-04-10 10:10:00+00:00,34
chatgpt-codex-connector[bot],2026-04-10 10:20:00+00:00,37
chatgpt-codex-connector[bot],2026-04-10 10:30:00+00:00,30
chatgpt-codex-connector[bot],2026-04-10 10:40:00+00:00,28
chatgpt-codex-connector[bot],2026-04-10 10:50:00+00:00,28
chatgpt-codex-connector[bot],2026-04-10 11:00:00+00:00,35
chatgpt-codex-connector[bot],2026-04-10 11:10:00+00:00,35
chatgpt-codex-connector[bot],2026-04-10 11:20:00+00:00,29
chatgpt-codex-connector[bot],2026-04-10 11:30:00+00:00,30
chatgpt-codex-connector[bot],2026-04-10 11:50:00+00:00,20
chatgpt-codex-connector[bot],2026-04-10 12:20:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 12:30:00+00:00,21
chatgpt-codex-connector[bot],2026-04-10 12:40:00+00:00,21
chatgpt-codex-connector[bot],2026-04-10 13:20:00+00:00,23
chatgpt-codex-connector[bot],2026-04-10 13:30:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 13:40:00+00:00,26
chatgpt-codex-connector[bot],2026-04-10 13:50:00+00:00,22
chatgpt-codex-connector[bot],2026-04-10 14:10:00+00:00,29
chatgpt-codex-connector[bot],2026-04-10 14:20:00+00:00,25
chatgpt-codex-connector[bot],2026-04-10 14:30:00+00:00,24
chatgpt-codex-connector[bot],2026-04-10 15:20:00+00:00,37
chatgpt-codex-connector[bot],2026-04-10 15:30:00+00:00,22
chatgpt-codex-connector[bot],2026-04-10 15:40:00+00:00,33
chatgpt-codex-connector[bot],2026-04-10 15:50:00+00:00,27
