repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
TSbeckCoM/CoM,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,602,1.0,1.0,0.0,1.0,1,0,4
BeaufortHeloiseqsjh/Blackjiaoqiuluo,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,646,1.0,1.0,0.0,1.0,1,0,4
pworker13/sweeps,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,False,False,608,1.0,1.0,0.0,1.0,1,0,4
vendurehq/vendure,1,1,1,2026-04-15 12:01:56+00:00,2026-04-15 12:01:56+00:00,False,False,814,1.0,1.0,0.0,1.0,1,0,4
ianlintner/Example-React-AI-Chat-App,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,648,1.0,1.0,0.0,1.0,1,0,4
MFGSTVEIT/webcam-archive,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,624,1.0,1.0,0.0,1.0,1,0,4
D-o-c-labs/Doc-Home-ops,1,1,1,2026-04-15 12:01:56+00:00,2026-04-15 12:01:56+00:00,False,False,849,1.0,1.0,0.0,1.0,1,0,4
abapptech/calculator,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
NanduBit/contributor,1,1,1,2026-04-15 12:01:18+00:00,2026-04-15 12:01:18+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
Petrokov/Armal,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,False,False,591,1.0,1.0,0.0,1.0,1,1,4
jsonwisdom/mn-ago-entropy-ledger,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,False,False,640,1.0,1.0,0.0,1.0,1,0,4
evilgodfahim/dstar,1,1,1,2026-04-15 12:00:05+00:00,2026-04-15 12:00:05+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
Tanmayop9/workspace-,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
Prasker/TrendRadar,1,1,1,2026-04-15 12:02:06+00:00,2026-04-15 12:02:06+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
bitfocus/companion-module-tplink-taposmartplug,1,1,1,2026-04-15 12:00:13+00:00,2026-04-15 12:00:13+00:00,False,False,819,1.0,1.0,0.0,1.0,1,0,4
