repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
thonyAGP/DevOps-Factory,388,2,0.015463917525773196,194.0,0.0046896151614774706,0,10.417246889259744,0.49326123697671487,-0.4832650180259829,5.450583642106057,-1.01659024002861,-0.10780113195107177,10.417246889259744,total_events
EtoNeYaProject/EtoNeYaProject.github.io,366,1,0.0,366.0,0.0055249452788889725,0,9.821064832055214,-0.08374633719835108,-0.522443569444117,10.361270361916924,-1.015025280563655,-0.10780113195107177,10.361270361916924,events_per_actor
GuilhermeAntunes15/GuilhermeAntunes15,384,2,0.005208333333333333,192.0,0.0051329349961904,0,10.308850151586192,0.49326123697671487,-0.5092480156678704,5.393482633736163,-1.0157596970410232,-0.10780113195107177,10.308850151586192,total_events
uminanarianayeetlwuofvt/Contract_creator,364,1,0.0,364.0,0.011855132881709224,0,9.76686646321844,-0.08374633719835108,-0.522443569444117,10.304169353547032,-1.0031659128747805,-0.10780113195107177,10.304169353547032,events_per_actor
microsoft/playwright,36,19,0.2777777777777778,1.894736842105263,0.0004424398097508818,1,0.8783339739872915,10.302389997952835,0.1813192986223652,-0.03411847763374393,-1.024547162839683,0.23183951599094957,10.302389997952835,unique_actors
anthropics/claude-plugins-official,20,19,0.05,1.0526315789473684,0.00028273746412768423,1,0.4447470232930891,10.302389997952835,-0.3957662531921501,-0.058161007473699226,-1.0248463591599748,0.23183951599094957,10.302389997952835,unique_actors
firstcontributions/first-contributions,47,19,0.5319148936170213,2.473684210526316,0.0006210687668481421,0,1.1764250025895557,10.302389997952835,0.8251874545129765,-0.01758923836877466,-1.024212508226737,-0.10780113195107177,10.302389997952835,unique_actors
JimLiu/baoyu-skills,21,19,0.0,1.105263157894737,0.0006845296303539996,0,0.4718462077114768,10.302389997952835,-0.522443569444117,-0.05665834935870201,-1.024093616692806,-0.10780113195107177,10.302389997952835,unique_actors
MiniMax-AI/skills,19,19,0.0,1.0,0.00027736821360272113,0,0.4176478388747015,10.302389997952835,-0.522443569444117,-0.05966366558869642,-1.0248564182482964,-0.10780113195107177,10.302389997952835,unique_actors
juspay/hyperswitch-prism,80,19,0.4625,4.2105263157894735,0.0009694149580728031,7,2.0706980883963477,10.302389997952835,0.6493216058865758,0.03199847942613312,-1.0235598947776645,2.2696834036430773,10.302389997952835,unique_actors
Azure/azure-sdk-for-net,85,19,0.03529411764705882,4.473684210526316,0.0011162619669849107,4,2.2061940104882862,10.302389997952835,-0.433024287383905,0.039511770001119155,-1.0232847824457767,1.2507614598170136,10.302389997952835,unique_actors
tobi/qmd,21,19,0.0,1.105263157894737,0.00026566473110934,0,0.4718462077114768,10.302389997952835,-0.522443569444117,-0.05665834935870201,-1.0248783442812732,-0.10780113195107177,10.302389997952835,unique_actors
gradle/gradle,48,19,0.25,2.526315789473684,0.0005901663531407916,5,1.2035241870079434,10.302389997952835,0.11094301181571696,-0.016086580253777464,-1.0242704027331282,1.590402107759035,10.302389997952835,unique_actors
island-is/island.is,114,19,0.49122807017543857,6.0,0.0022414911815017992,28,2.992070358621528,10.302389997952835,0.7221055025050304,0.08308885533603812,-1.0211767079578618,9.402137010425525,10.302389997952835,unique_actors
VoltAgent/awesome-agent-skills,20,19,0.0,1.0526315789473684,0.0002537008613144242,0,0.4447470232930891,10.302389997952835,-0.522443569444117,-0.058161007473699226,-1.0249007581400376,-0.10780113195107177,10.302389997952835,unique_actors
shadcn-ui/ui,24,19,0.16666666666666666,1.263157894736842,0.0002958032908116103,2,0.5531437609666398,10.302389997952835,-0.10018584860422769,-0.0521503750137104,-1.0248218808265468,0.5714801639329709,10.302389997952835,unique_actors
bitwarden/server,35,19,0.2,1.8421052631578947,0.0005186107159791371,2,0.8512347895689039,10.302389997952835,-0.015734304436249794,-0.03562113574874114,-1.0244044595201551,0.5714801639329709,10.302389997952835,unique_actors
