actor_login,window_start,event_count
cloudflare-workers-and-pages[bot],2026-04-15 12:50:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-15 13:00:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-15 13:10:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-15 13:20:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-15 13:30:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-15 13:40:00+00:00,41
cloudflare-workers-and-pages[bot],2026-04-15 13:50:00+00:00,28
coderabbitai[bot],2026-04-15 10:00:00+00:00,51
coderabbitai[bot],2026-04-15 10:10:00+00:00,39
coderabbitai[bot],2026-04-15 10:20:00+00:00,30
coderabbitai[bot],2026-04-15 10:30:00+00:00,35
coderabbitai[bot],2026-04-15 10:40:00+00:00,50
coderabbitai[bot],2026-04-15 10:50:00+00:00,32
coderabbitai[bot],2026-04-15 11:00:00+00:00,31
coderabbitai[bot],2026-04-15 11:10:00+00:00,20
coderabbitai[bot],2026-04-15 11:20:00+00:00,51
coderabbitai[bot],2026-04-15 11:40:00+00:00,21
coderabbitai[bot],2026-04-15 11:50:00+00:00,23
coderabbitai[bot],2026-04-15 13:30:00+00:00,26
copybara-service[bot],2026-04-15 12:10:00+00:00,20
cursor[bot],2026-04-15 10:00:00+00:00,21
cursor[bot],2026-04-15 11:00:00+00:00,29
cursor[bot],2026-04-15 11:30:00+00:00,20
dependabot[bot],2026-04-15 10:00:00+00:00,350
dependabot[bot],2026-04-15 10:10:00+00:00,414
dependabot[bot],2026-04-15 10:20:00+00:00,617
dependabot[bot],2026-04-15 10:30:00+00:00,424
dependabot[bot],2026-04-15 10:40:00+00:00,437
dependabot[bot],2026-04-15 10:50:00+00:00,386
dependabot[bot],2026-04-15 11:00:00+00:00,446
dependabot[bot],2026-04-15 11:10:00+00:00,1325
dependabot[bot],2026-04-15 11:20:00+00:00,624
dependabot[bot],2026-04-15 11:30:00+00:00,532
dependabot[bot],2026-04-15 11:40:00+00:00,471
dependabot[bot],2026-04-15 11:50:00+00:00,455
dependabot[bot],2026-04-15 12:00:00+00:00,373
dependabot[bot],2026-04-15 12:10:00+00:00,403
dependabot[bot],2026-04-15 12:20:00+00:00,563
dependabot[bot],2026-04-15 12:30:00+00:00,367
dependabot[bot],2026-04-15 12:40:00+00:00,315
dependabot[bot],2026-04-15 12:50:00+00:00,315
dependabot[bot],2026-04-15 13:00:00+00:00,279
dependabot[bot],2026-04-15 13:10:00+00:00,318
dependabot[bot],2026-04-15 13:20:00+00:00,327
dependabot[bot],2026-04-15 13:30:00+00:00,289
dependabot[bot],2026-04-15 13:40:00+00:00,229
dependabot[bot],2026-04-15 13:50:00+00:00,265
devin-ai-integration[bot],2026-04-15 10:00:00+00:00,23
devin-ai-integration[bot],2026-04-15 10:40:00+00:00,23
dhi-app[bot],2026-04-15 12:40:00+00:00,29
dhi-app[bot],2026-04-15 13:30:00+00:00,28
dotnet-policy-service[bot],2026-04-15 12:20:00+00:00,28
github-actions[bot],2026-04-15 10:00:00+00:00,2758
github-actions[bot],2026-04-15 10:10:00+00:00,2624
github-actions[bot],2026-04-15 10:20:00+00:00,2333
github-actions[bot],2026-04-15 10:30:00+00:00,1862
github-actions[bot],2026-04-15 10:40:00+00:00,2481
github-actions[bot],2026-04-15 10:50:00+00:00,3473
github-actions[bot],2026-04-15 11:00:00+00:00,2875
github-actions[bot],2026-04-15 11:10:00+00:00,2046
github-actions[bot],2026-04-15 11:20:00+00:00,1357
github-actions[bot],2026-04-15 11:30:00+00:00,2179
github-actions[bot],2026-04-15 11:40:00+00:00,3028
github-actions[bot],2026-04-15 11:50:00+00:00,3125
github-actions[bot],2026-04-15 12:00:00+00:00,2379
github-actions[bot],2026-04-15 12:10:00+00:00,1998
github-actions[bot],2026-04-15 12:20:00+00:00,1848
github-actions[bot],2026-04-15 12:30:00+00:00,1666
github-actions[bot],2026-04-15 12:40:00+00:00,2928
github-actions[bot],2026-04-15 12:50:00+00:00,5996
github-actions[bot],2026-04-15 13:00:00+00:00,5619
github-actions[bot],2026-04-15 13:10:00+00:00,5491
