repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,max_z,anomaly_feature
LedgerHQ/ledger-live,35,16,0.2857142857142857,2.1875,0.002576370997423629,2.551454736664372,25.751281426381844,0.11885253457120142,0.005566185197615803,-1.3506919056908453,25.751281426381844,unique_actors
NixOS/nixpkgs,115,16,0.8173913043478261,7.1875,0.008352701917489831,8.79633115284909,25.751281426381844,1.3908061704857733,0.40790961752138216,-1.338919199312865,25.751281426381844,unique_actors
trezor/trezor-suite,27,16,0.037037037037037035,1.6875,0.0022511255627813906,1.9269670950459004,25.751281426381844,-0.4760686667197521,-0.03466815803476084,-1.3513547865153352,25.751281426381844,unique_actors
zephyrproject-rtos/zephyr,27,16,0.14814814814814814,1.6875,0.0019195222522394426,1.9269670950459004,25.751281426381844,-0.21025281082379416,-0.03466815803476084,-1.3520306252896366,25.751281426381844,unique_actors
MetaMask/core,38,16,0.10526315789473684,2.375,0.002944823310601364,2.7856376022712985,25.751281426381844,-0.3128484043274972,0.020654063909757044,-1.3499409651790644,25.751281426381844,unique_actors
EvoMap/evolver,16,16,0.0,1.0,0.0013900955690703736,1.0682965878205015,25.751281426381844,-0.5646739520184048,-0.08999037997927872,-1.353109646726578,25.751281426381844,unique_actors
comet-ml/opik,38,16,0.07894736842105263,2.375,0.0027771687495432287,2.7856376022712985,25.751281426381844,-0.37580479125022415,0.020654063909757044,-1.3502826609626994,25.751281426381844,unique_actors
Lordog/dive-into-llms,16,16,0.0,1.0,0.001132663174288546,1.0682965878205015,25.751281426381844,-0.5646739520184048,-0.08999037997927872,-1.3536343181898105,25.751281426381844,unique_actors
hobsRKM/palyerData,322,1,0.0,322.0,0.022522207456109673,24.95494887972705,-0.13528239757438554,-0.5646739520184048,25.740457975206525,-1.3100404126685878,25.740457975206525,events_per_actor
atelier-fashion/atelier-web,13,1,0.0,13.0,13.0,0.8341137222135745,-0.13528239757438554,-0.5646739520184048,0.8756338575977606,25.139281430655675,25.139281430655675,events_per_second
tomevault-io/gemini-extensions,306,1,0.0,306.0,0.02442723716771773,23.705973596490104,-0.13528239757438554,-0.5646739520184048,24.452958991770473,-1.3061577827177688,24.452958991770473,events_per_actor
tomevault-io/cursor-plugins,303,1,0.0,303.0,0.02430806257521059,23.471790730883175,-0.13528239757438554,-0.5646739520184048,24.21155293237621,-1.3064006717600898,24.21155293237621,events_per_actor
AinsworthNecco/Lychkin,301,1,0.0,301.0,0.020950790004872277,23.31566882047856,-0.13528239757438554,-0.5646739520184048,24.050615559446705,-1.3132431094161694,24.050615559446705,events_per_actor
1024pix/pix,38,15,0.07894736842105263,2.533333333333333,0.0027820484662127534,2.7856376022712985,24.025510504784762,-0.37580479125022415,0.033394939266676305,-1.3502727156405991,24.025510504784762,unique_actors
coder/coder,78,15,0.02564102564102564,5.2,0.005472148168935036,5.908075810363658,24.025510504784762,-0.5033318314270299,0.24797810317268507,-1.3447900391170597,24.025510504784762,unique_actors
metabase/metabase,33,15,0.12121212121212122,2.2,0.00235143223599829,2.395332826259754,24.025510504784762,-0.27469301831372334,0.006572043778425233,-1.351150352069339,24.025510504784762,unique_actors
virattt/ai-hedge-fund,16,15,0.0,1.0666666666666667,0.0011306621440180906,1.0682965878205015,24.025510504784762,-0.5646739520184048,-0.0846258008816285,-1.3536383964779406,24.025510504784762,unique_actors
RediSearch/RediSearch,76,15,0.42105263157894735,5.066666666666666,0.006088767825668963,5.75195389995904,24.025510504784762,0.4426282387452254,0.2372489449773846,-1.3435333101889437,24.025510504784762,unique_actors
tomevault-io/windsurf-plugins,297,1,0.0,297.0,0.023756199008158695,23.003424999669324,-0.13528239757438554,-0.5646739520184048,23.72874081358769,-1.3075254216792878,23.72874081358769,events_per_actor
surservice/ping,293,1,0.0,293.0,0.020518207282913165,22.691181178860088,-0.13528239757438554,-0.5646739520184048,23.40686606772868,-1.3141247537402716,23.40686606772868,events_per_actor
PostHog/posthog.com,301,7,0.9568106312292359,43.0,0.024018512607724227,23.31566882047856,10.219343132008106,1.7243449798165558,3.289694451540359,-1.306990801861038,23.31566882047856,total_events
Blink9209/blink9209.github.io,289,1,0.0,289.0,0.02015622820477054,22.37893735805085,-0.13528239757438554,-0.5646739520184048,23.084991321869666,-1.3148625011894597,23.084991321869666,events_per_actor
supabase/supabase,26,14,0.3076923076923077,1.8571428571428572,0.0020058632927017436,1.8489061398435913,22.29973958318768,0.17143149507809427,-0.02101722015234733,-1.351854654118352,22.29973958318768,unique_actors
microsoft/markitdown,14,14,0.0,1.0,0.0014056224899598394,0.9121746774158835,22.29973958318768,-0.5646739520184048,-0.08999037997927872,-1.3530780013996195,22.29973958318768,unique_actors
paperclipai/paperclip,18,14,0.05555555555555555,1.2857142857142858,0.0016090104585679806,1.2244184982251194,22.29973958318768,-0.4317660240704258,-0.06699932670363491,-1.3526634775663466,22.29973958318768,unique_actors
elementor/elementor,40,14,0.125,2.857142857142857,0.0030637254901960784,2.9417595126759166,22.29973958318768,-0.26563111413545204,0.05945146631240595,-1.3496986313399129,22.29973958318768,unique_actors
