actor_login,repo_name,event_count,rank,purpose_label,name_category,language
aptos-bot,aptos-labs/aptos-core,2,1.0,no_description,general,
aquaproj-aqua-registry[bot],aquaproj/aqua-registry,10,1.0,no_description,general,
archon-deploy-bot[bot],archon-research/stl,1,1.0,no_description,general,
argo-bot,argoproj/argoproj-deployments,1,1.0,no_description,general,
argocd-linkurious[bot],Linkurious/docker-neo4j,1,1.0,no_description,general,
argoproj-renovate[bot],argoproj/argo-cd,1,1.0,no_description,general,
argos-ci[bot],laststance/laststance.io,1,1.0,no_description,general,
around-the-grounds-pusher[bot],steveandroulakis/ballard-food-trucks,2,1.0,no_description,general,
arsnova-bot,particify/arsnova-webclient,3,1.0,no_description,general,
asean-coding-agent[bot],ASEAN-Motor-Club/mt-pak-extract,1,1.0,no_description,general,
ask-bonk[bot],cloudflare/vinext,1,1.0,no_description,general,
assistant-librarian[bot],ROCm/TheRock,1,1.0,no_description,general,
astinnam-bot,astinnam-bot/ai-hair-style-maker-8885434a,1,1.0,no_description,automation,
astral-sh-bot[bot],astral-sh/ruff,1,1.0,no_description,general,
atalaia-code-review[bot],micvianna/sapatos-girl,1,1.0,no_description,general,
atlassian[bot],PDA080442/mp-custom_checkout,8,1.0,no_description,general,
atlassian[bot],Tech-minders/Flask-SQLAlchemy-Workout-Application-Backend,4,2.0,no_description,general,
atlassian[bot],dxzhuofan/Event-Booking-Management-Chat-Support,4,3.0,no_description,general,
atlassian[bot],Let-s-intern/lets-intern-client,2,4.0,no_description,general,
atlassian[bot],s-sandali/ALEMS-backend,2,5.0,no_description,general,
augmentcode[bot],zopencommunity/meta,2,1.0,no_description,general,
augmentcode[bot],Obsidian-Owl/specwright,1,2.0,no_description,general,
augmentcode[bot],avoidwork/woodland,1,3.0,no_description,general,
augmentcode[bot],engels74/obzorarr,1,4.0,no_description,general,
augustosavy8-bot,augustosavy8-bot/FAIRPLAY,2,1.0,no_description,automation,
auto-release-token[bot],steno-aarhus/osdc,2,1.0,no_description,general,
auto-submit[bot],flutter/flutter,1,1.0,no_description,general,
auto-submit[bot],flutter/packages,1,2.0,no_description,general,
autofix-ci[bot],yamadashy/repomix,3,1.0,no_description,general,
autofix-ci[bot],slint-ui/slint,2,2.0,no_description,general,
autofix-ci[bot],Byte-Holders/MVP,1,3.0,no_description,general,
autofix-ci[bot],Gal-bloch/langflow,1,4.0,no_description,general,
autofix-ci[bot],MatthiasHowellYopp/langflow,1,5.0,no_description,general,
autogpt-pr-reviewer[bot],Significant-Gravitas/AutoGPT,1,1.0,no_description,general,
automatic-maintenance[bot],fardjad/traicebox,2,1.0,no_description,general,
automatic-release-manager[bot],TimSchoenle/cloudflare-access-webhook-redirect,1,1.0,no_description,general,
automatic-release-manager[bot],TimSchoenle/netcup-offer-bot,1,2.0,no_description,automation,
autonomy-ai[bot],adobrov-cloud/jira-clone,5,1.0,no_description,general,
autoorthors-releaser[bot],egeland/autoortho-rs,1,1.0,no_description,general,
autopip-ci-bot[bot],vordenken/AutoPiP,11,1.0,no_description,general,
autoscaling-team-rebasebot[bot],openshift/kubernetes-sigs-karpenter,1,1.0,no_description,general,
avenirs-dsav-release-bot[bot],avenirs-esr/avenirs-dsav,1,1.0,no_description,general,
avido-renovate[bot],Avido-AI/inngest,1,1.0,no_description,general,
aws-airflow-bot,aws-mwaa/upstream-to-airflow,10,1.0,no_description,general,
aws-airflow-bot,aws-mwaa/aws-mwaa.github.io,3,2.0,no_description,general,
aws-amplify-ap-east-1[bot],amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-prod-ap-east-1,1,1.0,no_description,demo_or_test,
aws-amplify-ap-east-1[bot],amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-ap-east-1,1,2.0,no_description,demo_or_test,
aws-amplify-ap-northeast-1[bot],aws-aemilia-nrt/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-prod-ap-northeast-1,1,1.0,no_description,demo_or_test,
aws-amplify-ap-northeast-1[bot],aws-aemilia-nrt/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-ap-northeast-1,1,2.0,no_description,demo_or_test,
aws-amplify-ap-northeast-3[bot],aws-aemilia-kix/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-prod-ap-northeast-3,3,1.0,no_description,demo_or_test,
aws-amplify-ap-south-1[bot],aws-aemilia-bom/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-ap-south-1,4,1.0,no_description,demo_or_test,
aws-amplify-ap-south-1[bot],aws-aemilia-bom/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-prod-ap-south-1,2,2.0,no_description,demo_or_test,
aws-amplify-ap-southeast-2[bot],aws-aemilia-syd/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-ap-southeast-2,1,1.0,no_description,demo_or_test,
aws-amplify-beta-us-west-2[bot],aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-beta-us-west-2,2,1.0,no_description,demo_or_test,
aws-amplify-beta-us-west-2[bot],aws-aemilia-pdx/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-beta-us-west-2,1,2.0,no_description,demo_or_test,
aws-amplify-ca-central-1[bot],aws-aemilia-yul/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-ca-central-1,2,1.0,no_description,demo_or_test,
aws-amplify-eu-central-1[bot],aws-aemilia-fra/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-prod-eu-central-1,4,1.0,no_description,demo_or_test,
aws-amplify-eu-central-1[bot],aws-aemilia-fra/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-central-1,2,2.0,no_description,demo_or_test,
aws-amplify-eu-north-1[bot],aws-aemilia-arn/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-north-1,2,1.0,no_description,demo_or_test,
aws-amplify-eu-south-1[bot],aws-aemilia-mxp/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-south-1,2,1.0,no_description,demo_or_test,
aws-amplify-eu-south-1[bot],aws-aemilia-mxp/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-prod-eu-south-1,1,2.0,no_description,demo_or_test,
aws-amplify-eu-west-1[bot],aws-aemilia-dub/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-west-1,2,1.0,no_description,demo_or_test,
aws-amplify-eu-west-1[bot],aws-aemilia-dub/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-prod-eu-west-1,1,2.0,no_description,demo_or_test,
aws-amplify-eu-west-2[bot],aws-aemilia-lhr/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-west-2,2,1.0,no_description,demo_or_test,
aws-amplify-eu-west-2[bot],aws-aemilia-lhr/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-prod-eu-west-2,1,2.0,no_description,demo_or_test,
aws-amplify-eu-west-3[bot],aws-aemilia-cdg/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-prod-eu-west-3,3,1.0,no_description,demo_or_test,
aws-amplify-gamma-us-east-1[bot],aws-aemilia-iad/Github-PR-Commit-Integration-Test-DoNotTouch-GitHubAutoBuildPrPreviewCanaryTest-v2-gamma-us-east-1,1,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-east-1[bot],amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-ap-east-1,2,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-east-1[bot],amplify-github-test-hkg/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-preprod-ap-east-1,1,2.0,no_description,demo_or_test,
aws-amplify-preprod-ap-northeast-1[bot],aws-aemilia-nrt/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-ap-northeast-1,2,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-northeast-2[bot],aws-aemilia-icn/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-preprod-ap-northeast-2,1,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-northeast-3[bot],aws-aemilia-kix/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-ap-northeast-3,2,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-south-1[bot],aws-aemilia-bom/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-preprod-ap-south-1,1,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-southeast-1[bot],aws-aemilia-sin/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v2-preprod-ap-southeast-1,2,1.0,no_description,demo_or_test,
aws-amplify-preprod-ap-southeast-1[bot],aws-aemilia-sin/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-ap-southeast-1,1,2.0,no_description,demo_or_test,
aws-amplify-preprod-ap-southeast-2[bot],aws-aemilia-syd/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-ap-southeast-2,2,1.0,no_description,demo_or_test,
aws-amplify-preprod-eu-central-1[bot],aws-aemilia-fra/Github-PR-Commit-Integration-Test-DoNotTouch-Gith-RB7P4TGB-v2-preprod-eu-central-1,2,1.0,no_description,demo_or_test,
